"","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean"
"1","Mississippi.1969.Female",75.1945703229889,75.4508174470413,75.7059543836202,75.4504529284702,67.1918744227439,67.5691049207552,67.9859306940179,67.5698740233622,7.42208911864761,7.8830000544997,8.34671356606619,7.88057890510808
"2","Mississippi.1969.Male",65.9347621395792,66.1959800313473,66.462980948803,66.2000563892717,59.2219225541266,59.6669722879852,60.0894088383849,59.6658756009485,6.04649062601597,6.53376553244987,7.0633312646207,6.53418078832317
"3","Mississippi.1970.Female",75.4594534703242,75.688104680358,75.9217761889734,75.6878751307424,67.790421351432,68.1325425133429,68.4967021072829,68.133658379328,7.14922291145808,7.55299348060545,7.98120246928427,7.55421675141437
"4","Mississippi.1970.Male",66.2769512197588,66.4912988669386,66.7321625090516,66.4944771581098,59.6214598203928,60.0344853050916,60.3883006710501,60.0256244012613,6.00905012310627,6.45243954248139,6.95176022241297,6.46885275684845
"5","Mississippi.1971.Female",75.8866938052071,76.0928671992236,76.3184334148702,76.0929961708159,68.3525504508745,68.6946570708547,69.0050337174145,68.689212094591,7.0166427599241,7.39608452576395,7.80323132084493,7.40378407622487
"6","Mississippi.1971.Male",66.3734713849152,66.5870400641933,66.8140112554584,66.5890836570219,60.3280287115719,60.7248541221902,61.0621905074552,60.7160397473363,5.47007647082721,5.86580261525402,6.30985452216568,5.87304390968556
"7","Mississippi.1972.Female",76.096003089514,76.3112671972244,76.5289126473686,76.3119568862417,68.7668086776534,69.112743817809,69.4417246210458,69.1122696884941,6.80221291281692,7.20068209316099,7.58274052691884,7.19968719774759
"8","Mississippi.1972.Male",66.5653539506872,66.7725640843575,66.9869564166937,66.7739038128929,60.6818659667118,61.0452102439388,61.4138607968342,61.0442561276083,5.31176003947768,5.73027268230563,6.12904221047232,5.72964768528451
"9","Mississippi.1973.Female",76.2768998781224,76.4967469519257,76.6975811553204,76.4969761857878,69.1937885875251,69.5501753218927,69.8861642966916,69.5418078319787,6.55773722261978,6.95511326518884,7.35869887335024,6.95516835380912
"10","Mississippi.1973.Male",66.8660720189799,67.0729182819406,67.2947300980808,67.0780447151254,60.9403710440121,61.2801484902197,61.6295659536072,61.2874727227479,5.34877286011515,5.79660752820907,6.20422740216452,5.79057199237759
"11","Mississippi.1974.Female",76.6845507710076,76.8784177483618,77.074890493475,76.8809186425097,69.898228825457,70.2050016803969,70.555622962001,70.2149008555898,6.25105211314917,6.67455999398456,7.04733274667604,6.66601778691995
"12","Mississippi.1974.Male",67.3188535028323,67.5253516410075,67.7414811768255,67.5284921699399,61.7772936594438,62.1209926261107,62.4711247594661,62.1196968874827,4.97639592701382,5.40289698970323,5.84125344785936,5.40879528245721
"13","Mississippi.1975.Female",77.1041820532479,77.2893414231453,77.4847553666789,77.2924025753046,70.534616978855,70.8471789029767,71.1514832841967,70.8426030319981,6.10147332245391,6.44619391265199,6.81178488498007,6.44979954330652
"14","Mississippi.1975.Male",67.756318331674,67.9748989499832,68.1707149997474,67.9701269705236,62.1618643716748,62.5083959286127,62.8383128650112,62.5025822373077,5.05759336773189,5.46389228878788,5.86619830529703,5.46754473321586
"15","Mississippi.1976.Female",77.2934721260825,77.4765759608564,77.6676574505191,77.4783952079361,71.099132253714,71.4006107644097,71.6827052745006,71.4008247102124,5.73389076032703,6.07439579260058,6.43053432730557,6.07757049772374
"16","Mississippi.1976.Male",67.9984356240539,68.2115911808318,68.4050472874185,68.2091494536946,62.6745907635994,63.0238413643514,63.3611917709983,63.02508077602,4.79891263619814,5.18144910724688,5.57499333692992,5.18406867767462
"17","Mississippi.1977.Female",77.5405114936735,77.7311191904726,77.9526239777343,77.7355825843873,71.6511474859139,71.959944236475,72.2528490161489,71.9585114854302,5.42119396686127,5.78056074461854,6.14266669027263,5.77707109895713
"18","Mississippi.1977.Male",68.3926314985738,68.5967906732629,68.8107682252117,68.5986170144194,63.2022915709134,63.5337676149074,63.8360522845406,63.5282709468648,4.69001039424553,5.06850546442465,5.47986817060551,5.07034606755457
"19","Mississippi.1978.Female",77.7721146140976,77.9460865482114,78.1265654081867,77.9464962852967,72.1072325576642,72.4218498470884,72.7169539808324,72.4213903748936,5.16614365399322,5.52294503721205,5.89836914552626,5.52510591040315
"20","Mississippi.1978.Male",68.6313089749398,68.8258384154389,69.0239978979491,68.8253334281173,63.4560516231057,63.7994994796331,64.1060472489608,63.7923630162364,4.6474166380131,5.0371335875741,5.40381370921967,5.03297041188082
"21","Mississippi.1979.Female",77.9885804306773,78.1752444634988,78.3715946767574,78.1736057868131,72.4993232666798,72.8010535211438,73.1063080858044,72.804318326364,5.0234656226282,5.36879856720108,5.72112851307063,5.36928746044913
"22","Mississippi.1979.Male",68.8947022406904,69.0988066739105,69.3016212345092,69.0990770966787,63.566932679659,63.8911916793392,64.1941032320128,63.8964042831929,4.8027684563908,5.19731877692582,5.59754233484678,5.20267281348584
"23","Mississippi.1980.Female",78.0775231437102,78.2646915453341,78.4717191011935,78.2651361367068,72.7667195770076,73.073814378997,73.3697357460997,73.0716660748307,4.8359692438181,5.18778232917301,5.58299007915083,5.19347006187612
"24","Mississippi.1980.Male",69.1294703353536,69.3096234717922,69.5000045407399,69.312004743135,63.7582650958942,64.0674641598952,64.3671694717233,64.0648145551674,4.88591664201739,5.24331915150184,5.606889406339,5.24719018796756
