"","stratum.id","age_minbin","age_cont_yrs_lcl","age_cont_yrs_med","age_cont_yrs_ucl","age_cont_yrs_mean","age_cont_prop_lcl","age_cont_prop_med","age_cont_prop_ucl","age_cont_prop_mean"
"1","Tennessee.1969.Female",0,1.17305994884535,1.44673902175316,1.73559586406567,1.44602380844433,0.158445875465001,0.189569336527573,0.221395326968675,0.189166528124802
"2","Tennessee.1969.Female",1,0.0350050192859427,0.0962589759595563,0.163249689864954,0.0968355739816439,0.00455093074034329,0.0125561071709452,0.0211415277022196,0.0126733358911141
"3","Tennessee.1969.Female",5,-0.00826840916859134,0.0273327883479017,0.0703633923700145,0.028352485468694,-0.00111986081845554,0.00359341351984413,0.00919229853134654,0.00370686935589152
"4","Tennessee.1969.Female",10,-0.00992068962034612,0.0207107175181629,0.0539026891615002,0.0211639397649922,-0.00130986221884768,0.00272360685436956,0.00709130037449862,0.00276356253128061
"5","Tennessee.1969.Female",15,0.0053166051009307,0.0442779184631857,0.0918238512592658,0.045345231143451,0.000695269700656401,0.00579084238584503,0.0119514016059904,0.00593389258459396
"6","Tennessee.1969.Female",20,0.0809753087043054,0.133840189519022,0.201505484082816,0.134977056610658,0.0106284485517959,0.0175565010218328,0.026169246315565,0.0176716036008383
"7","Tennessee.1969.Female",25,0.155601315017098,0.219995830349562,0.293314767951055,0.220974273386778,0.0204568213740739,0.0288129049189291,0.0382573742904245,0.0289337856692438
"8","Tennessee.1969.Female",30,0.215641714890181,0.29593502901272,0.380212531314394,0.296040051963156,0.0283002511368616,0.0387655507310582,0.0497900892953332,0.0387677153342775
"9","Tennessee.1969.Female",35,0.387174062979396,0.480025714372474,0.578837794055433,0.481135413966606,0.0509441815759424,0.0628033643043736,0.0758232021143895,0.0630139755331558
"10","Tennessee.1969.Female",40,0.463532132076781,0.571407404666806,0.684482440603859,0.572123399356521,0.061684648430041,0.0745776418847376,0.0893303369481862,0.0749224118294581
"11","Tennessee.1969.Female",45,0.701466245348391,0.824410693039005,0.956758315993773,0.823512371753526,0.092247850302507,0.107475439041489,0.125038201816331,0.107848236019486
"12","Tennessee.1969.Female",50,0.719790971168123,0.846256956167878,0.978998754967505,0.848015308185482,0.0946030483485698,0.110396999862004,0.128826002811761,0.11107554552089
"13","Tennessee.1969.Female",55,0.794902480983081,0.92712053691634,1.0551792664418,0.924913726149775,0.104370542748222,0.120902192446796,0.138338411459514,0.121136550458304
"14","Tennessee.1969.Female",60,0.782862230921364,0.917154960787613,1.04403121320199,0.917756749349819,0.103203483181142,0.119891268041351,0.137357695848106,0.120199962540929
"15","Tennessee.1969.Female",65,0.667072003039513,0.774057779734764,0.897959176416356,0.776860616320175,0.0877419011318421,0.101158341917883,0.11805770837414,0.101746200599112
"16","Tennessee.1969.Female",70,0.356478422369126,0.456143167196014,0.55933845982506,0.45720384323951,0.0461727667814777,0.0598280335128676,0.0736478229553127,0.0598869584791937
"17","Tennessee.1969.Female",75,0.0627973076109482,0.148303020433318,0.241160685120923,0.149426025713853,0.00831420403507763,0.0195062432588142,0.0305865183041968,0.019549899890835
"18","Tennessee.1969.Female",80,-0.140282542382462,-0.0753148634198768,-0.00674703224975161,-0.0750166094673713,-0.0190569123951639,-0.00989841152660841,-0.000859727014160099,-0.00986326497737558
"19","Tennessee.1969.Female",85,-0.682471571309037,-0.523972465060093,-0.385186469177819,-0.526551534603138,-0.0920981737705798,-0.0685617922151726,-0.0494147052687458,-0.06913376898603
"20","Tennessee.1969.Male",0,0.829587209133362,1.06651155467428,1.3396443319526,1.07147499467879,0.133495769984756,0.168403243064505,0.208115841595616,0.16917742608226
"21","Tennessee.1969.Male",1,0.0733295305389801,0.133105582121328,0.205647675019246,0.133570090894869,0.0116112192612044,0.0209077133034311,0.0320533452891806,0.0211063809342148
"22","Tennessee.1969.Male",5,0.0149657456583724,0.0531902491252097,0.0959545051462829,0.0534965938841352,0.00227128700719193,0.00846582333382411,0.0152319468902337,0.00844886569852895
"23","Tennessee.1969.Male",10,-0.0271738183993444,0.00721418215760599,0.0467959484736859,0.00807745236533867,-0.00432911996072737,0.00114413383350467,0.00719800449878403,0.00126830659011088
"24","Tennessee.1969.Male",15,-0.0742043455698939,-0.00395753065471615,0.0735911900734815,-0.00235198875331982,-0.0119617119536897,-0.000615953875778352,0.0118110431586115,-0.000406619118558378
"25","Tennessee.1969.Male",20,0.233330138591324,0.36173957170939,0.494937480438805,0.360818051404312,0.0372596290687183,0.0570592265880629,0.078008074086376,0.0570072012323429
"26","Tennessee.1969.Male",25,0.299339454373376,0.418000442648087,0.547007113277462,0.419067030700319,0.0483779432483342,0.0662951227038249,0.0852404730596963,0.0662365851230086
"27","Tennessee.1969.Male",30,0.396999401842028,0.51780636430333,0.649441106099782,0.518161740420563,0.0634216786291281,0.0815245986359147,0.102173395645398,0.081910568641484
"28","Tennessee.1969.Male",35,0.457896446591876,0.591293055100398,0.716052863655083,0.58946361864492,0.0738525529442927,0.0933356132207968,0.113161513465528,0.0932009181420021
"29","Tennessee.1969.Male",40,0.479836461534126,0.597314716285375,0.721340450804878,0.598762842792183,0.0765927079091718,0.0944467172661517,0.114511735562472,0.094669847716356
"30","Tennessee.1969.Male",45,0.658535050880153,0.791277087268083,0.93918168656199,0.793854346610705,0.103056832762285,0.125276298781363,0.147114258087161,0.125526289742023
"31","Tennessee.1969.Male",50,0.557886894724444,0.681515699937999,0.819077707828615,0.681831837783031,0.0878276812855441,0.107932249807859,0.130135624313949,0.107836523389764
