"","stratum.id","age_minbin","COD","age_COD_cont_yrs_lcl","age_COD_cont_yrs_med","age_COD_cont_yrs_ucl","age_COD_cont_yrs_mean","age_COD_cont_prop_lcl","age_COD_cont_prop_med","age_COD_cont_prop_ucl","age_COD_cont_prop_mean"
"1","Nebraska.1969.Female",0,"1",0.918673005945627,1.60714601226676,2.48934604767854,1.64790783459766,0.114792767029285,0.189186628727124,0.271244439375187,0.19152729302209
"2","Nebraska.1969.Female",0,"2",-0.000115424041845627,0.00175493052259881,0.00818317148930728,0.00241681529113618,-1.25137741412507e-05,0.000203726568222364,0.000935845809318532,0.000280646331769765
"3","Nebraska.1969.Female",0,"3",-0.000206040993540039,0.01729835406603,0.0560053144601924,0.0194610972938519,-2.52096460137241e-05,0.00201283599013732,0.00666800216144742,0.00227820899405471
"4","Nebraska.1969.Female",0,"4",-0.052382507419593,0.0258676356381766,0.250373489242849,0.0458304943443429,-0.00645283636106478,0.00291518043916562,0.028857864010817,0.00522132201817679
"5","Nebraska.1969.Female",0,"5",-0.011780655487379,0.0167126141805434,0.080041142378279,0.0213042579259002,-0.0013831403787343,0.00200978612963674,0.00937874233661053,0.00248816684252325
"6","Nebraska.1969.Female",0,"6",-0.00138819614762002,0.00566707844537122,0.0230571519881597,0.00706604684905914,-0.000161058688333202,0.000664578966366821,0.00275880166759329,0.00082275360292186
"7","Nebraska.1969.Female",1,"1",-0.0330738220420152,0.0351161658546719,0.165412462965764,0.0422477917489795,-0.00375739811135007,0.00411490444742949,0.0185735524434386,0.00495829445790812
"8","Nebraska.1969.Female",1,"2",-0.00597979215495815,0.00691115853037198,0.0244449402752429,0.00756628754837807,-0.000714646441350512,0.00083031176307749,0.00286194696040545,0.000897112804221549
"9","Nebraska.1969.Female",1,"3",-0.00151122117102547,0.0139350038381835,0.0458244412233113,0.0157299754978099,-0.000174321892119654,0.00164120093786795,0.00525237555252754,0.00183443341810529
"10","Nebraska.1969.Female",1,"4",-0.0308389304319295,-0.00229291198011231,0.0410242272979912,-0.000798404980964531,-0.00388692241260436,-0.000268684813603558,0.00490915989173822,-9.30101651233827e-05
"11","Nebraska.1969.Female",1,"5",-0.0277835431471505,0.0218429148166412,0.127383873409457,0.0278291368736262,-0.00324392616943011,0.00249609206069177,0.0149893875935817,0.00327994341368592
"12","Nebraska.1969.Female",1,"6",0.00150958603147994,0.0115607302407331,0.0385367218537476,0.0136440618711486,0.000178626418737344,0.00137596543224461,0.00450615808240586,0.00161142318295476
"13","Nebraska.1969.Female",5,"1",-0.0120530230922761,0.00791080284831395,0.049459419277457,0.0109706646790819,-0.00141798920708995,0.000928727124387181,0.00583375662140476,0.00128603852076636
"14","Nebraska.1969.Female",5,"2",-0.009212687824367,-0.00440338044798915,0.000961101768036363,-0.00442402966504871,-0.00113230505346405,-0.000511592108225281,0.000116448521772472,-0.000516622180382768
"15","Nebraska.1969.Female",5,"3",-0.000531154773206546,0.00355422424284259,0.0231627509328436,0.00529478390215577,-6.74769661753883e-05,0.000421079948857565,0.0025505143225149,0.000616123904006657
"16","Nebraska.1969.Female",5,"4",-0.00729980138043546,0.00465440767633588,0.0377676593225025,0.00731477368876783,-0.000889828976175687,0.000556001456900106,0.00447009558946366,0.00085181935037836
"17","Nebraska.1969.Female",5,"5",-0.00964949651742728,0.0239628045690259,0.0992739857606997,0.0291496360328317,-0.00109534105386225,0.00281969905437632,0.0107935221846319,0.00339879542364581
"18","Nebraska.1969.Female",5,"6",0.000991329243861434,0.00322260573792438,0.0121622415661791,0.00422293109645047,0.00011659228239544,0.000380584590504861,0.00146528108600195,0.000489566423085323
"19","Nebraska.1969.Female",10,"1",-0.00402683588569412,0.0137414822866442,0.0534407256999364,0.0169033154883874,-0.000431608456478473,0.00161692417371279,0.0066244756406495,0.0020034676884286
"20","Nebraska.1969.Female",10,"2",-0.00308683477364043,0.00403118589825802,0.0121991765125199,0.0042827151459994,-0.000344161117749227,0.00046559615839102,0.00153794782539278,0.000506653986036045
"21","Nebraska.1969.Female",10,"3",-0.00120101423277497,0.00713547538578353,0.0280040704098393,0.00840135398227069,-0.000141798524923378,0.000824724278231784,0.00322244864829301,0.00098810016603008
"22","Nebraska.1969.Female",10,"4",-0.0139067189129319,-0.00433637247859806,0.00659015756632792,-0.00424962099831161,-0.00169672987965598,-0.000496687905380209,0.000809462769968625,-0.000495175494914528
"23","Nebraska.1969.Female",10,"5",-0.0365808017343509,-0.0133691039471149,0.0309516324080304,-0.0105835679499215,-0.00446829546258962,-0.00151204290721319,0.0038029187174909,-0.00124924060809124
"24","Nebraska.1969.Female",10,"6",-0.000655500239499542,0.00898990978948554,0.0391674782907585,0.0124635193065723,-7.5685566923013e-05,0.00106818923446217,0.00461063531936978,0.00145328423449835
"25","Nebraska.1969.Female",15,"1",0.00704788201512046,0.0428087118782182,0.1137677882557,0.0478253360827194,0.000778464292707569,0.00503477017738621,0.0135604252936379,0.00558218023154991
"26","Nebraska.1969.Female",15,"2",-0.000612943598647187,0.0100609245296552,0.0426156146348195,0.0127583302797394,-6.63926323259204e-05,0.00117364232653617,0.00516550848253147,0.00149361440285001
"27","Nebraska.1969.Female",15,"3",0.00196726028448992,0.0132386965679708,0.0355648134765939,0.0147225267837195,0.000261039750423499,0.00158064131298708,0.00400085386820229,0.00171657345318428
"28","Nebraska.1969.Female",15,"4",-0.00793573320124671,0.0040929728766489,0.03937931781447,0.00669089370095764,-0.000900968447002009,0.000459633071106634,0.00461028330616301,0.000778931420503843
"29","Nebraska.1969.Female",15,"5",-0.0795707871070604,-0.0111783800439997,0.111617760453396,-0.00459154204057484,-0.00938986313956641,-0.00126384560746355,0.0130489059047885,-0.000560889420122392
"30","Nebraska.1969.Female",15,"6",0.00120231146720535,0.00943501443633132,0.0263794839858625,0.0106822178497324,0.000151047836941784,0.00108348772321796,0.00311327664755921,0.00125459673185117
"31","Nebraska.1969.Female",20,"1",-0.013890149081,0.0164263889161373,0.075789561072503,0.020321800385148,-0.00165879264266322,0.00191847658174971,0.00896414360855572,0.00235711657269354
"32","Nebraska.1969.Female",20,"2",-0.00314877277251317,0.0106588930507732,0.0417250635693081,0.0135613512792892,-0.00037872551139982,0.00127343953383832,0.00497207641612308,0.00159255798408328
"33","Nebraska.1969.Female",20,"3",-0.0101573324636569,0.00205770810506096,0.0237149984497262,0.00358622062313779,-0.00121334361136158,0.000242870390143496,0.00275713730722113,0.000417984455856933
"34","Nebraska.1969.Female",20,"4",-0.00820674065445939,0.00179825648631707,0.0311672694248507,0.00424755089967095,-0.000964844269147524,0.000204752613075619,0.00352888050017093,0.000493276756138743
"35","Nebraska.1969.Female",20,"5",-0.0257140017677893,0.0620277481075027,0.227003654031293,0.0706473763077624,-0.0034637644583642,0.00712515662960389,0.0259735054191046,0.00819091385770159
"36","Nebraska.1969.Female",20,"6",-0.00403975588871043,0.00128892722280599,0.0170769587815753,0.00255220747450008,-0.000482736559104964,0.000152322040443568,0.0019929461197618,0.000301522721899477
"37","Nebraska.1969.Female",25,"1",0.00243291337197585,0.0655460692546537,0.171818393733384,0.0704410621743554,0.0002638142921177,0.00769086893464871,0.019719134215092,0.00827642067226825
"38","Nebraska.1969.Female",25,"2",-0.00326009738125709,0.0114194349472813,0.0465126661984477,0.0142447798222287,-0.000363827628842561,0.00134332120765868,0.0054434083411201,0.00168491402680046
"39","Nebraska.1969.Female",25,"3",-0.00236215124923668,0.0186211142222411,0.0690604907824627,0.0223470284418667,-0.000265857673555866,0.00220095612406703,0.00784594620560608,0.00260323813138069
"40","Nebraska.1969.Female",25,"4",0.00721232015761629,0.0394619919416267,0.165182336340549,0.0529772286026815,0.000840412810382632,0.00459063907375915,0.019356363643962,0.00623266436391811
"41","Nebraska.1969.Female",25,"5",-0.0211734768613087,0.0272392022499065,0.11602732393859,0.033664128688809,-0.00255338604443352,0.00320923660027032,0.0137089218219301,0.00394425681357436
"42","Nebraska.1969.Female",25,"6",-0.00818023214425861,0.00723884611034343,0.0293648557356314,0.00862926464425759,-0.000988883984968475,0.000858680950873376,0.00350589850324088,0.00100809918483859
"43","Nebraska.1969.Female",30,"1",0.0414306881995053,0.133535230430773,0.324486280613205,0.146738889895865,0.00469077893607978,0.0156444703574566,0.0386728259993564,0.0172480401638647
"44","Nebraska.1969.Female",30,"2",-0.0253827263958827,0.0131080211135775,0.0696511425170165,0.0153122236896323,-0.00297564529370841,0.00153042260173048,0.00853938927229759,0.00178383087547709
"45","Nebraska.1969.Female",30,"3",1.68887318472697e-05,0.0302286676939572,0.0849707640619168,0.033855423321783,1.70368806278905e-06,0.00348473803882432,0.0104345627798834,0.00397475777348157
"46","Nebraska.1969.Female",30,"4",0.00680372283354368,0.0334433056549476,0.108963409561178,0.0402911682437301,0.000765342088001618,0.00397236846423639,0.013071724108793,0.00476319319639757
"47","Nebraska.1969.Female",30,"5",0.00991701665368134,0.0794856504156183,0.18627406351882,0.0847245126605119,0.00112346770194554,0.00939858509495302,0.0212626880314279,0.0099337993905438
"48","Nebraska.1969.Female",30,"6",-0.00141463644740253,0.00872600170438748,0.0455598835165774,0.0114469603267435,-0.000148102058824025,0.00102951360486575,0.00537357849646706,0.00135812662047632
"49","Nebraska.1969.Female",35,"1",-0.00339817629867194,0.0382587235293178,0.155953033382583,0.0465801504363861,-0.000436173984778804,0.00444706554793117,0.0179753458381882,0.00546721936811582
"50","Nebraska.1969.Female",35,"2",-0.0375037829564448,0.00350445231661525,0.0651281746718177,0.00697766997563361,-0.00444729036875317,0.000415689287387584,0.00771939611692384,0.000810899842271693
"51","Nebraska.1969.Female",35,"3",0.0134672338235734,0.0768950298538302,0.198832918886389,0.0835688746600337,0.00155221672152367,0.00891648473029471,0.023074667713039,0.00980533986790069
"52","Nebraska.1969.Female",35,"4",-0.00342466415195196,0.0175090612160204,0.0724970264350791,0.0220864134710871,-0.00042232571632174,0.00205608488327272,0.00881207798075839,0.00258759933281129
"53","Nebraska.1969.Female",35,"5",-0.0284573577330478,0.0397169522728452,0.141337769601395,0.0435521259937161,-0.00341887223651262,0.00457183209962626,0.0165894481187352,0.00506720084969752
"54","Nebraska.1969.Female",35,"6",-0.00783583784890593,0.0208429981503843,0.0979150848571384,0.0267063399445634,-0.000916057475814233,0.00243423045323956,0.0118979507358314,0.00318976438078962
"55","Nebraska.1969.Female",40,"1",0.0170481068481912,0.112294061737346,0.342185160031488,0.126716641791468,0.00182503954829185,0.0129786314245333,0.03890958388082,0.014834841625504
"56","Nebraska.1969.Female",40,"2",0.032671390481555,0.185493998969287,0.459434135061435,0.200801207119579,0.00376622139643816,0.0212555007219168,0.0538837003487221,0.0234710059249557
"57","Nebraska.1969.Female",40,"3",0.0641538012251324,0.195512136519406,0.512538800578858,0.21941707993303,0.00750827939732881,0.0229775246844762,0.0601244027155411,0.0256047304167388
"58","Nebraska.1969.Female",40,"4",-0.000573852988143176,0.0198991403480633,0.0674595474816045,0.0231815411703921,-6.33901172996462e-05,0.00234187969013019,0.00793911116427974,0.00271563151854552
"59","Nebraska.1969.Female",40,"5",-0.0150045900536901,0.0308796927888631,0.124244038199715,0.0370114025497546,-0.00179873153493617,0.00361073840198619,0.0148239413092357,0.00433895250393227
"60","Nebraska.1969.Female",40,"6",0.000803881305155381,0.0413323083482948,0.127634988212957,0.0470045676929286,8.61301348750529e-05,0.00496084820798447,0.0146650809763128,0.0055211223279025
"61","Nebraska.1969.Female",45,"1",0.0708204216496324,0.215295688067012,0.505074258650204,0.233090510751399,0.0080574467729165,0.0256436310405504,0.0596305149255013,0.0272414471044915
"62","Nebraska.1969.Female",45,"2",-0.0187129594365353,0.115858866336658,0.333193731428819,0.123901589474258,-0.00216729745331778,0.0134939144223678,0.0373390045201767,0.0144948409824479
"63","Nebraska.1969.Female",45,"3",0.0213816020420802,0.149985881710729,0.448335664025282,0.169409590992622,0.00253313819859522,0.0174984226068144,0.0501957544630094,0.0196588626929431
"64","Nebraska.1969.Female",45,"4",-0.0015929589918968,0.0265814909578888,0.0943946420726642,0.0306393494048598,-0.000177805199011983,0.00310856959572586,0.0105602519731771,0.00357625282916093
"65","Nebraska.1969.Female",45,"5",-0.0390616805332942,0.017189672701074,0.124922452037603,0.0219558209066786,-0.00481567574824208,0.00199734432381919,0.0145573501629715,0.00254320189789116
"66","Nebraska.1969.Female",45,"6",0.0315596453917228,0.0973393582384708,0.243370648468563,0.108471599095971,0.0036596269486009,0.0113760766894858,0.0284854594040059,0.0127221091301253
"67","Nebraska.1969.Female",50,"1",-0.0130036785585408,0.0524231521322623,0.170258502764828,0.0598220880805954,-0.0014060112531118,0.00605152813017796,0.0203085840625103,0.00700115475666243
"68","Nebraska.1969.Female",50,"2",-0.053777375258947,0.0843804247958898,0.339964319233782,0.100633475584501,-0.00652428367233716,0.00995638800825634,0.0393815443245362,0.0117215862346382
"69","Nebraska.1969.Female",50,"3",0.024542516366529,0.167605064796709,0.516541274598441,0.195329265330213,0.00308934072576162,0.0197625101566907,0.0583982353593366,0.0225923250840184
"70","Nebraska.1969.Female",50,"4",0.00273978238213632,0.037824797769537,0.111447232407171,0.0429891841999145,0.000315284987483261,0.00445953500670084,0.0128762101734377,0.00502163993022898
"71","Nebraska.1969.Female",50,"5",-0.0309515550489412,-0.00249625906317578,0.0418662027245139,0.000101807486812115,-0.00373387072986125,-0.000289115092053013,0.00510874725356256,-4.72962505760986e-06
"72","Nebraska.1969.Female",50,"6",0.00601983681346941,0.066373282115214,0.16323491601297,0.0705621519467447,0.000707270337498237,0.00784350576108282,0.0190494371443942,0.0082252297833377
"73","Nebraska.1969.Female",55,"1",0.0547550185378117,0.193606089391316,0.43083674914074,0.207160824101458,0.00642821393359009,0.0226500426882513,0.0499163665977393,0.0241244268806818
"74","Nebraska.1969.Female",55,"2",-0.0706918844210005,0.106892450674456,0.451552011200015,0.132486107321026,-0.00854834222322905,0.0127426330430172,0.0515096565934985,0.0153265419500705
"75","Nebraska.1969.Female",55,"3",-0.0653961309305703,0.15073093698631,0.563937895700437,0.174939623673611,-0.00842920490526037,0.0175806575255985,0.0616156836453301,0.0202244705722337
"76","Nebraska.1969.Female",55,"4",-0.00398575376693787,0.0360352752013454,0.113925261603644,0.0394656439781226,-0.000442780440471601,0.00415740819167419,0.0124897310164834,0.00456869999227141
"77","Nebraska.1969.Female",55,"5",-0.0344297749204275,-0.0125431407778531,0.0175712074716366,-0.0114089157071073,-0.00419037097078019,-0.00147478201645083,0.00214337651410635,-0.00135751229077263
"78","Nebraska.1969.Female",55,"6",0.000934858960247389,0.0597884538267478,0.179246968729833,0.0669688321391723,0.000101236270992782,0.00696735349294425,0.0207747705298456,0.00782651096859219
"79","Nebraska.1969.Female",60,"1",-0.0497713429910738,-0.00073901694876703,0.0930820760665163,0.00484492997577359,-0.00593300516125923,-8.31869747764963e-05,0.0107748681667627,0.000552127034859144
"80","Nebraska.1969.Female",60,"2",-0.0223974719778767,0.168702767045743,0.548539833836362,0.189548835062991,-0.0027370690558165,0.0199525089687356,0.0598624235861979,0.0219802285457614
"81","Nebraska.1969.Female",60,"3",0.23005530914509,0.572187056000985,1.01443703258064,0.588105570994361,0.0265564726900981,0.0675233622826773,0.118923957092589,0.0685765035838175
"82","Nebraska.1969.Female",60,"4",-0.00555876996998295,0.016480274303847,0.0761841017216331,0.0213291342523991,-0.00067457502305053,0.00189552173710977,0.00874918625001186,0.00248294112071495
"83","Nebraska.1969.Female",60,"5",-0.0345363855257657,-0.0146731279741589,0.0333144209722442,-0.0104859880093843,-0.00420004076845942,-0.00170730375242482,0.00382731347170381,-0.00126828642159043
"84","Nebraska.1969.Female",60,"6",0.064364578246885,0.178377585326278,0.385095018706003,0.19046788290401,0.00740640643803587,0.0208198518072779,0.0461870686608826,0.022466673102117
"85","Nebraska.1969.Female",65,"1",-0.0109776186238894,0.0569036849923526,0.19357731151506,0.0678346683749121,-0.00118492678869112,0.00670760519312196,0.0227624746241912,0.00795372406042018
"86","Nebraska.1969.Female",65,"2",-0.0846301906724135,0.0986537814263296,0.354697354019261,0.107219115017694,-0.0101257434139177,0.0113823296297321,0.040270768677837,0.012569619720196
"87","Nebraska.1969.Female",65,"3",0.0903733408791077,0.38179936889655,0.785187253296783,0.400057298559833,0.0106922220814857,0.0444518867487745,0.0915510636677653,0.0467199839671859
"88","Nebraska.1969.Female",65,"4",-0.00961228469111289,0.00973202293725486,0.0495953336349378,0.0121819336324063,-0.00115419430823222,0.00113568016174821,0.00562932013804593,0.00143030998162056
"89","Nebraska.1969.Female",65,"5",-0.0106931441276424,0.00817617707620043,0.059803228606141,0.0136579475093876,-0.00129039181863261,0.000936802220190315,0.00696133558391077,0.00158141801290093
"90","Nebraska.1969.Female",65,"6",0.040834183375334,0.136399374036598,0.337812668572148,0.150914316656064,0.00497988475704134,0.0158121620332298,0.0392228299895615,0.0176048316003951
"91","Nebraska.1969.Female",70,"1",0.0136647081362854,0.125890116083349,0.388844034487864,0.145657530250843,0.00155115359696256,0.0146189773702446,0.0468279954962099,0.0170915832645821
"92","Nebraska.1969.Female",70,"2",-0.0712993029636041,0.06629099476254,0.30179670361151,0.0776344202456567,-0.00861178026973821,0.00776905603597175,0.0348990513752953,0.00892543252820036
