"","stratum.id","age_minbin","age_cont_yrs_lcl","age_cont_yrs_med","age_cont_yrs_ucl","age_cont_yrs_mean","age_cont_prop_lcl","age_cont_prop_med","age_cont_prop_ucl","age_cont_prop_mean"
"1","Pennsylvania.1969.Female",0,1.36531706680111,1.58200593305601,1.8194988028638,1.5859706582578,0.203111432108023,0.231015128046215,0.25959241120558,0.230966846636449
"2","Pennsylvania.1969.Female",1,0.118274850520647,0.17390824968608,0.232209130746096,0.174458626578795,0.0174048726083213,0.0254057749517939,0.0337480840724161,0.025420813730217
"3","Pennsylvania.1969.Female",5,0.0103401766090741,0.0387249590694456,0.0706660911705812,0.0388293145902349,0.00150577707900026,0.00562812529762205,0.010327355884119,0.00565609775361684
"4","Pennsylvania.1969.Female",10,-0.0044105905727243,0.0171666650760987,0.0408824682380148,0.0177270125081678,-0.000627274299054232,0.00251744478022848,0.00593453295162033,0.00258375867641107
"5","Pennsylvania.1969.Female",15,0.0446228454147665,0.0770266844794979,0.117372707046194,0.0777963547671993,0.00641753123941456,0.011264081750009,0.0170991030723734,0.0113341905706246
"6","Pennsylvania.1969.Female",20,0.11632110384427,0.161741753514705,0.219234166748194,0.163046219120777,0.0168287276039477,0.0235546977162508,0.0319230867327438,0.0237563501446082
"7","Pennsylvania.1969.Female",25,0.178628317784473,0.233597059590372,0.295987316588888,0.234700640321562,0.0260486270225664,0.0340388329475627,0.0431621984202182,0.0342100459573428
"8","Pennsylvania.1969.Female",30,0.262267366148612,0.319959992367119,0.382771520921817,0.320163938215792,0.0385794826870133,0.0466530535919599,0.0555488250468223,0.0466649271963866
"9","Pennsylvania.1969.Female",35,0.439560258011473,0.518261297259861,0.594089032194869,0.518198508091052,0.0644912759299278,0.0755193805227328,0.0872132073540847,0.0755345865782071
"10","Pennsylvania.1969.Female",40,0.564006095212477,0.64496284358717,0.734638077149944,0.645968763087891,0.08189298316733,0.0940454776697597,0.10658121187139,0.09415342048409
"11","Pennsylvania.1969.Female",45,0.55480339675091,0.635015959274459,0.727107894475999,0.636766678890535,0.0808270208370492,0.0924963989320151,0.105442101067347,0.0928133226604726
"12","Pennsylvania.1969.Female",50,0.57083650937993,0.660801117335357,0.755664248624804,0.661196599107464,0.0834244217905128,0.0961943720808875,0.110187731680184,0.0963682775936444
"13","Pennsylvania.1969.Female",55,0.621441758290563,0.723204281667292,0.832803248329853,0.7237539005859,0.0909772752030356,0.10528187952775,0.120948486922762,0.105484772044032
"14","Pennsylvania.1969.Female",60,0.611959228651435,0.714236220155587,0.818107148309932,0.714964853312507,0.0886161008416265,0.104339911025004,0.119205453326168,0.1042029289558
"15","Pennsylvania.1969.Female",65,0.397268205127919,0.490899360117615,0.584782130039521,0.490655026820357,0.0583985439068685,0.071442549298389,0.0848008945464033,0.0714961751147388
"16","Pennsylvania.1969.Female",70,0.263711265684286,0.346465335857475,0.433977786004124,0.346377987238696,0.0388268041998128,0.0504270413061679,0.0624310244820205,0.0504622989168585
"17","Pennsylvania.1969.Female",75,-0.060456305651798,0.00830542256742822,0.0799967139888458,0.00778674260802667,-0.00901403325124965,0.00122066763677414,0.0113942520482593,0.00110800864567744
"18","Pennsylvania.1969.Female",80,-0.178844137856203,-0.118625266925353,-0.0596784839243014,-0.119197870443843,-0.0268227089621777,-0.0172344500286753,-0.00857976416228107,-0.0174137768390556
"19","Pennsylvania.1969.Female",85,-0.506043858209111,-0.372970616618206,-0.256353840721562,-0.375079267094608,-0.0749901089931285,-0.0544155177984683,-0.0361068005350942,-0.054803044820122
"20","Pennsylvania.1969.Male",0,1.42809120247268,1.6701597503226,1.9374434438045,1.67668234498746,0.168378618657994,0.193193095096506,0.218672812075635,0.193225508819733
"21","Pennsylvania.1969.Male",1,0.116093241980482,0.17171542070044,0.232104500780305,0.172774689347216,0.0135403865028282,0.0198065565874192,0.027073691214791,0.0199229702863425
"22","Pennsylvania.1969.Male",5,0.0183135395349751,0.0532673190136944,0.0940448183289883,0.0540515078772144,0.00215228920751521,0.00613812252469819,0.011001968734474,0.00623385664272777
"23","Pennsylvania.1969.Male",10,0.0335989852063365,0.0675259501885238,0.104499313859163,0.0684229901393413,0.00385588742326772,0.00775240770545789,0.0120542488858474,0.007888299545148
"24","Pennsylvania.1969.Male",15,0.234483845699863,0.314194442928597,0.402645039944444,0.315956315801008,0.0278122515006833,0.0362540430859265,0.0462605854176419,0.0364271111396247
"25","Pennsylvania.1969.Male",20,0.388525252693232,0.491241836186987,0.609463604692055,0.491999041748855,0.0450355350888351,0.0565476808471693,0.0693047479620204,0.0567254883103093
"26","Pennsylvania.1969.Male",25,0.579001575712086,0.692942740200234,0.809042990591805,0.693245211158816,0.0670757781077843,0.0800466142105656,0.0931242255768094,0.0799440638686816
"27","Pennsylvania.1969.Male",30,0.638655286694619,0.746449296176239,0.859734830677645,0.746552897459639,0.0743525078170411,0.0859500318482775,0.0983799116652722,0.0860821876339946
"28","Pennsylvania.1969.Male",35,0.765887260962098,0.868163684170719,0.983648443780086,0.871515651371312,0.0889910968132011,0.100213288701293,0.113521378498228,0.100512117561945
"29","Pennsylvania.1969.Male",40,0.750989413678084,0.849021003321043,0.959167498207403,0.848614424718388,0.0862331640502217,0.0978135781549989,0.110574761272822,0.0978847584498591
"30","Pennsylvania.1969.Male",45,0.688954213951461,0.783956285781863,0.883079874094777,0.782952106547618,0.079188219746453,0.090310565164751,0.102347976787427,0.09030525004813
