"","stratum.id","age_minbin","age_cont_yrs_lcl","age_cont_yrs","age_cont_yrs_ucl","age_cont_prop_lcl","age_cont_prop","age_cont_prop_ucl"
"1","Florida.1969.Female",0,1.48124810426904,1.70316487531557,1.95347842739909,0.165727092512776,0.187584489081988,0.210823586656935
"2","Florida.1969.Female",1,0.142040156072274,0.205838427047882,0.28196385792314,0.0157349125210944,0.0227443751835969,0.0310507441259028
"3","Florida.1969.Female",5,0.0221157350715392,0.0524145450154543,0.087309085906083,0.0024729994312452,0.00577170483339177,0.00962894156546659
"4","Florida.1969.Female",10,0.0181432390432699,0.0467889089642754,0.0841964927004269,0.00197008383193042,0.00518377979994118,0.00924299308590574
"5","Florida.1969.Female",15,0.0567386562724374,0.101344220312189,0.154818275269915,0.00630842395124657,0.0111842650277747,0.0170130953518564
"6","Florida.1969.Female",20,0.162320993354491,0.229898197368467,0.294997662706562,0.0180805466233588,0.0253816179491082,0.0328624170098029
"7","Florida.1969.Female",25,0.227362243507557,0.289070692881027,0.362889379222046,0.0253597132068996,0.0318550968835597,0.0402631872002905
"8","Florida.1969.Female",30,0.401053098278256,0.476187911723339,0.561290623675187,0.0441990950136784,0.0522474210204996,0.0616703306842906
"9","Florida.1969.Female",35,0.506382617518903,0.592359018309353,0.683229224881237,0.0558491693887392,0.0652654075267822,0.0754726106772296
"10","Florida.1969.Female",40,0.740904802596848,0.844591526153299,0.955943619035864,0.081986632612105,0.0933813647454493,0.105693850586566
"11","Florida.1969.Female",45,0.83760207750508,0.957199027202088,1.07216336270576,0.0916503078340339,0.105386045421359,0.119229311263659
"12","Florida.1969.Female",50,0.817444630449397,0.934958727986887,1.06076521127897,0.0899159702153797,0.103135453507601,0.117617170879795
"13","Florida.1969.Female",55,0.912663599328113,1.02390334168066,1.16047229824604,0.10023788882226,0.11288469104208,0.128201742412386
"14","Florida.1969.Female",60,1.02305470814021,1.13832099712396,1.26896958833263,0.112087532379022,0.125698208420652,0.140168158728086
"15","Florida.1969.Female",65,0.815055964624466,0.921476586450927,1.02604268915821,0.0892292975361914,0.101554122715128,0.114165632535427
"16","Florida.1969.Female",70,0.614216307919453,0.70742726149413,0.809026594844163,0.0674703736165373,0.0780113243739665,0.0890508536332803
"17","Florida.1969.Female",75,0.163190045193346,0.238127453102927,0.318620513960339,0.0181460858162956,0.0261344892424419,0.0356929646601601
"18","Florida.1969.Female",80,-0.230792979758342,-0.165625512596865,-0.102675991150962,-0.0259200460579055,-0.0182213238080668,-0.0113708404193649
"19","Florida.1969.Female",85,-1.51934663498835,-1.23720542825608,-0.99132851138639,-0.173572383003582,-0.136733063746009,-0.105563010931838
"20","Florida.1969.Male",0,1.24654590187327,1.48869717147805,1.69829793839304,0.132702338136711,0.155721980870517,0.176770866956278
"21","Florida.1969.Male",1,0.146586427374081,0.21516659388986,0.287194032559817,0.0154717626912686,0.0225023902971177,0.0300707918634763
"22","Florida.1969.Male",5,0.0368834157495089,0.0771491417020628,0.122173492420946,0.00383474288713719,0.00806028368326168,0.0127901065547844
"23","Florida.1969.Male",10,0.0660826102956633,0.105694590996796,0.150900275738609,0.00694660629773189,0.0110274092943897,0.0158566358821301
"24","Florida.1969.Male",15,0.0938248831088997,0.172571739007953,0.254854831585191,0.0100324504304067,0.0180947403228455,0.0266884600818268
"25","Florida.1969.Male",20,0.349938957746122,0.468851788194411,0.599063855438386,0.0370549417197061,0.0491570917641847,0.062459660926105
"26","Florida.1969.Male",25,0.561879406015494,0.677717401139177,0.802088456692237,0.0587094555772947,0.0711981838068345,0.0842017187465296
"27","Florida.1969.Male",30,0.594271289445833,0.702557761977262,0.82072305651836,0.0623949483852495,0.0736872017693574,0.086509024181803
"28","Florida.1969.Male",35,0.723456077849465,0.84366366351128,0.956146682939959,0.0763341179018022,0.0883422323912153,0.100139123763211
"29","Florida.1969.Male",40,0.8425286890394,0.949214622803216,1.07283139336852,0.0880709812408111,0.0994938065556802,0.112475304309492
"30","Florida.1969.Male",45,0.839060009942969,0.958424987889628,1.08266718365081,0.08847447334886,0.100326385411619,0.113319462676645
"31","Florida.1969.Male",50,0.785229937701479,0.899856500341536,1.01694878879586,0.082149955587719,0.0943517995314746,0.10595029186076
"32","Florida.1969.Male",55,0.633502536099812,0.745965838682881,0.861957847724585,0.0660959427983566,0.0782666844473614,0.0900625164988874
"33","Florida.1969.Male",60,0.587622315587774,0.688443746278345,0.789760227599993,0.0618704008303263,0.0718449751516996,0.0827983174869468
"34","Florida.1969.Male",65,0.425834981012683,0.498771091750404,0.583286848915929,0.0445051391253698,0.0523545442580646,0.0608054490278434
"35","Florida.1969.Male",70,0.30706562296175,0.370514203574374,0.433226116240241,0.032333765312126,0.0388984967892888,0.0453218739345997
"36","Florida.1969.Male",75,0.0703113567124437,0.118395879948602,0.166684815041441,0.00759424660583017,0.0123865484094318,0.0174673286072526
"37","Florida.1969.Male",80,-0.110305176549996,-0.0782982415249773,-0.0465233609982791,-0.011530545599783,-0.00818826207442186,-0.00476394949457164
"38","Florida.1969.Male",85,-0.46279107086292,-0.370946102510547,-0.285931528197151,-0.0496653526887025,-0.0388479903054268,-0.0298186723108189
"39","Florida.1970.Female",0,1.31522670333225,1.5033395876276,1.72736741863901,0.149465671333534,0.168473994665547,0.192460384124283
"40","Florida.1970.Female",1,0.131762020877017,0.187295087331715,0.249825041641988,0.0148976652688429,0.0211191583098268,0.0279364608053202
"41","Florida.1970.Female",5,0.0187803321748961,0.0468697987093007,0.0795124327727693,0.00208448772010019,0.00524962885818753,0.00896233820727013
