"","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean"
"1","Washington DC.1969.Female",74.3347146220678,74.9991904018033,75.6956474670166,75.0120621587792,67.8436105594788,68.3142864591109,68.7776928179214,68.3148952373111,5.8078575976517,6.69156158569557,7.50267482161807,6.69716692146811
"2","Washington DC.1969.Male",65.7374883609109,66.5487421351981,67.3165691280139,66.5254679175918,58.0269231083273,58.5674304046566,59.0446953872377,58.5577064932331,7.02842900367524,7.97963462376536,8.88483244098698,7.9677614243587
"3","Washington DC.1970.Female",74.5143050317579,75.1850650487762,75.8458743212671,75.1796648126631,68.0637358104971,68.4814422561911,68.8639990963639,68.4786385889271,5.91890764357626,6.69375417981387,7.47647582836279,6.70102622373596
"4","Washington DC.1970.Male",66.1587231595429,66.8440463839995,67.4815957010943,66.8341563848338,58.2524268927997,58.7184411874272,59.1445919758278,58.718253760784,7.27352704676672,8.11616065202468,8.92491157072724,8.11590262404974
"5","Washington DC.1971.Female",75.1147384537005,75.7255140548603,76.2966719566765,75.7184926631094,68.3526835854663,68.7614448932649,69.1678996884618,68.7598773246277,6.22010067024863,6.97169585161697,7.67233049396698,6.95861533848164
"6","Washington DC.1971.Male",66.9023295662765,67.5038293919899,68.0742256124832,67.5045154732592,58.6376766590018,59.0550204851664,59.4641679009057,59.0545719863673,7.7192425254328,8.44129259262296,9.17112794748931,8.4499434868919
"7","Washington DC.1972.Female",75.3720385287691,75.9973703825297,76.5749686819387,75.9963829715052,68.8449599655294,69.2162791336482,69.5903592282496,69.2146082539095,6.07955844629868,6.78959470013108,7.5129555921264,6.78177471759576
"8","Washington DC.1972.Male",67.4605516567439,68.0463732883006,68.6717321726154,68.0505919686875,58.9877808595475,59.3843154497354,59.7798648239729,59.3874324352193,7.88646233589305,8.66417594582542,9.41957451273898,8.66315953346813
"9","Washington DC.1973.Female",75.6103190859972,76.2070027143212,76.7856986152246,76.200210247137,69.3680190178591,69.7142400018469,70.1083527219873,69.7146716576478,5.83312298617814,6.48624231586006,7.18408242278636,6.48553858948919
"10","Washington DC.1973.Male",67.991263945419,68.6273933973895,69.1873734035649,68.6180646029919,59.4480542557471,59.8735590746518,60.3007726350238,59.8738573309033,7.93445567290901,8.74722491354026,9.46175810069376,8.74420727208861
"11","Washington DC.1974.Female",76.1664256582683,76.7519822239991,77.2849878429584,76.7454125170063,69.6999884803494,70.111926036164,70.4819596851919,70.1067864500871,5.92836332386598,6.6478089518252,7.32206435749392,6.63862606691918
"12","Washington DC.1974.Male",68.707210574826,69.3181700673475,69.9288967892064,69.3225484008775,59.6334416474478,60.0873073842139,60.5357323894943,60.080892124504,8.46659253019446,9.23164505266462,10.0065650328521,9.24165627637352
