"","stratum.id","LE_white_lcl","LE_white","LE_white_ucl","LE_black_lcl","LE_black","LE_black_ucl","LE_wbgap_lcl","LE_wbgap","LE_wbgap_ucl"
"1","Alabama.1969.Female",75.5423609078328,75.7438349907535,75.9708277524052,67.5399218616544,67.9485700978267,68.325129633393,7.34747736599269,7.80259842341702,8.24109247927189
"2","Alabama.1969.Male",66.3901581771535,66.603725867667,66.8274940880723,59.0474718493611,59.4628096957381,59.8599373102639,6.68073105839359,7.13642667823714,7.6198963812672
"3","Alabama.1970.Female",75.7139139515041,75.8925419824742,76.064134601169,67.9029473615928,68.2226288309919,68.5690054072086,7.26747631643653,7.66352991125375,8.03798524436172
"4","Alabama.1970.Male",66.5583737667632,66.736808930809,66.9228418434394,59.5031592114021,59.9055768938243,60.2550968844888,6.46340930551947,6.82772139978688,7.24889595179423
"5","Alabama.1971.Female",75.9688194935979,76.153109153052,76.3281102586169,68.5858614739883,68.8943138867061,69.2273045009917,6.90169895678976,7.24466049945908,7.60106899128771
"6","Alabama.1971.Male",66.697383500118,66.8854071600943,67.0615144460919,59.8153760436846,60.1623956119996,60.4983723437635,6.32902211623618,6.71201086001518,7.10890515034939
"7","Alabama.1972.Female",76.1574842755855,76.3177098351624,76.4828583411296,68.9532680912302,69.2636429386785,69.5758858359155,6.67508766429422,7.03956129552027,7.40677243116199
"8","Alabama.1972.Male",66.8374656754892,67.0232764288907,67.1872583099697,60.0782668942441,60.4159558844639,60.7347532181304,6.23174178773777,6.60131706525933,6.99778793337753
"9","Alabama.1973.Female",76.2883416470003,76.44500391133,76.616248702155,69.2851246605866,69.6211072441628,69.906068880766,6.47787972485814,6.82921167329011,7.18118350668305
"10","Alabama.1973.Male",66.9741448915188,67.1518631530319,67.3421090010516,60.3818172782345,60.6980978984767,61.0265109291594,6.08697040659561,6.45177287028176,6.81279668619939
"11","Alabama.1974.Female",76.6351838460957,76.7911820453025,76.9596768091395,70.0750182611508,70.3632481979169,70.6872254539423,6.08334102541369,6.42608446323059,6.75179362973992
"12","Alabama.1974.Male",67.3894842246753,67.557551692455,67.7290143801234,60.9001859717216,61.2206636747407,61.5292181663621,5.99070766068514,6.33978398967766,6.6995499454594
"13","Alabama.1975.Female",77.1294859981872,77.3041718374012,77.475059127046,70.756172576126,71.0702375548569,71.3608895362471,5.89911168794621,6.23329310041287,6.55952420696024
"14","Alabama.1975.Male",67.9690202711615,68.1341608592749,68.3033419156652,61.3311807983416,61.6454213993785,61.9463111284877,6.13919306945509,6.49055819767537,6.82949437303924
"15","Alabama.1976.Female",77.4033692375836,77.5667013583469,77.7239314364043,71.0961260319453,71.3961858674591,71.6825716448519,5.84479316062605,6.17378818810688,6.50361993056449
"16","Alabama.1976.Male",68.2664672743619,68.43636124452,68.5997450794045,61.6064616930649,61.916119876901,62.2123044539165,6.17776169608396,6.51946857648161,6.87513604942713
"17","Alabama.1977.Female",77.6968293242568,77.8547798058129,78.016372380099,71.5651443509109,71.8718557228359,72.1647755405884,5.65704081427307,5.98689853049432,6.32258319882804
"18","Alabama.1977.Male",68.5065354984126,68.6671094698696,68.8321131184388,62.0461898042565,62.335671266892,62.6345536229579,6.00283258868821,6.34099698066269,6.6665121327695
"19","Alabama.1978.Female",77.8971292344716,78.0602124829983,78.2256161789185,72.0919658840468,72.365912781865,72.6542040994072,5.35591361915152,5.68916285254486,6.02268794130218
"20","Alabama.1978.Male",68.8730956294747,69.0510717175821,69.2014890461096,62.3750816912342,62.6924588060567,62.9811828560655,6.01702019305445,6.35693954063347,6.69969405042103
"21","Alabama.1979.Female",78.08844563824,78.2472652667229,78.3997807975742,72.4810279199427,72.7509655833874,73.0441820219274,5.14807779273181,5.49726036804262,5.82111571774159
"22","Alabama.1979.Male",69.2210321988975,69.3785041449592,69.5372039544896,62.90242324758,63.2018039286076,63.4703055665363,5.86068618902861,6.1784513464709,6.52336804743524
"23","Alabama.1980.Female",78.1762996302209,78.3383112147552,78.4937312436662,72.6369671447399,72.9290900722967,73.2073432524312,5.05787939973846,5.40855079694726,5.75188130432928
"24","Alabama.1980.Male",69.5536376363869,69.7022836999217,69.8614927959813,63.2275688076163,63.5269994294004,63.797726052378,5.86149754615553,6.17587310563735,6.52563294805282
"25","Alabama.1981.Female",78.2627029164683,78.4242052267422,78.5913593510429,73.0309706929054,73.3029382814825,73.5959960477773,4.78845934372042,5.12308939959931,5.46172742540203
"26","Alabama.1981.Male",69.8376702673302,69.9921574537061,70.1472432083529,63.685207429534,63.9733121266785,64.2524132279213,5.71145627089273,6.02130750035041,6.34717578527355
"27","Alabama.1982.Female",78.4130470838294,78.5693200768849,78.7220404370594,73.279240370175,73.5536344905345,73.8439585533699,4.69178885720513,5.01149573647557,5.350524765095
"28","Alabama.1982.Male",70.1080776649913,70.2589858486721,70.3980499973576,64.0745947561731,64.3535465678745,64.641193676408,5.57444749138981,5.9120294456688,6.2167110834518
"29","Alabama.1983.Female",78.4919413418778,78.6474212102682,78.7999943158697,73.2941139838574,73.5697933842424,73.8402867647311,4.78071979058757,5.07805864906616,5.39797284097019
"30","Alabama.1983.Male",70.3055154976192,70.4668509078818,70.6289125298208,64.312090002457,64.6252455601196,64.9196696193308,5.49518327588526,5.84601209369042,6.17851902857257
"31","Alabama.1984.Female",78.3921827248341,78.5580207040605,78.719514565217,73.2321290552551,73.4989203083659,73.7735430279214,4.7445413999893,5.05492548360183,5.36318339213239
