"","X","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean","state","year","sex","Census_Region","Census_Division","stabbrs"
"1",1,"Alabama.1969.Female",75.5331084401003,75.7459396837413,75.948689021888,75.7457989183851,67.5908980039365,67.9559163466629,68.3220424693207,67.9524752593763,7.35471664833622,7.80157405225346,8.18706100127945,7.79332365900878,"Alabama",1969,"Female","South","East South Central","AL"
"2",2,"Alabama.1969.Male",66.4000601900808,66.6042270052386,66.8364153768621,66.6034751269084,59.0528858490182,59.4591409488675,59.8593405297719,59.4580224526831,6.68250780598667,7.14952852150314,7.59121730527579,7.14545267422529,"Alabama",1969,"Male","South","East South Central","AL"
"3",3,"Alabama.1970.Female",75.686145187456,75.8845073182222,76.0699290909262,75.8807849665787,67.9019248711734,68.2325449014008,68.5693327815888,68.2302107532049,7.26498728151365,7.65432234137748,8.04237018102416,7.65057421337384,"Alabama",1970,"Female","South","East South Central","AL"
"4",4,"Alabama.1970.Male",66.5525555033957,66.7373685094847,66.91885584796,66.7352031678055,59.5361016859403,59.901630031892,60.223151397873,59.8987112203693,6.46234585123293,6.83675338418266,7.24168717649111,6.83649194743619,"Alabama",1970,"Male","South","East South Central","AL"
"5",5,"Alabama.1971.Female",75.9695721524258,76.1399696408111,76.3045939224464,76.1383593506876,68.5733312296322,68.893747617911,69.2123353589622,68.8949973785672,6.87672901869165,7.24400061182215,7.59698175449582,7.24336197212037,"Alabama",1971,"Female","South","East South Central","AL"
"6",6,"Alabama.1971.Male",66.699325282646,66.8872350097612,67.0454061613869,66.8840871669514,59.8100503015349,60.1648253485506,60.4767078964038,60.1592151612043,6.35203221316871,6.71358292287591,7.11005477840597,6.72487200574708,"Alabama",1971,"Male","South","East South Central","AL"
"7",7,"Alabama.1972.Female",76.1383534008966,76.3100844869703,76.4890409454243,76.3114881941324,68.9295902764761,69.2632228240116,69.5785220143651,69.2592389160083,6.69235997745047,7.05251164301962,7.43805752619496,7.05224927812413,"Alabama",1972,"Female","South","East South Central","AL"
"8",8,"Alabama.1972.Male",66.8446912607059,67.0237181830086,67.1878348752353,67.0226644481479,60.0886519486985,60.40135756746,60.7284675767109,60.4007220525193,6.26069179676971,6.61734581579535,6.99715674417602,6.62194239562865,"Alabama",1972,"Male","South","East South Central","AL"
"9",9,"Alabama.1973.Female",76.2722533733612,76.4372411689669,76.601501625969,76.437140520243,69.3220367892219,69.6264085933034,69.9372007820678,69.6237963239056,6.45760691488299,6.81281099815932,7.16882447340683,6.81334419633747,"Alabama",1973,"Female","South","East South Central","AL"
"10",10,"Alabama.1973.Male",66.9797366710799,67.1517680087798,67.3162419386761,67.1506328914843,60.3527585650005,60.7027852727578,61.031038359249,60.6953579838761,6.07130830943663,6.45547850110725,6.83447702385054,6.4552749076082,"Alabama",1973,"Male","South","East South Central","AL"
"11",11,"Alabama.1974.Female",76.6152086296305,76.7877605828845,76.9552200848325,76.7870532583732,70.0355635763452,70.3691156441521,70.6992860714445,70.3661825591884,6.05002271014294,6.41933596812848,6.7977464637396,6.42087069918477,"Alabama",1974,"Female","South","East South Central","AL"
"12",12,"Alabama.1974.Male",67.3806271713611,67.5473977479718,67.7130293478058,67.5480786087018,60.8998671269285,61.2164252056559,61.5257948296541,61.2162130403673,5.97191489662576,6.33609751890094,6.67560617306714,6.33186556833452,"Alabama",1974,"Male","South","East South Central","AL"
"13",13,"Alabama.1975.Female",77.1344311820348,77.2932083111045,77.4768214534804,77.296016038641,70.741853649406,71.0664490232954,71.3563370945286,71.061696786288,5.8999553951563,6.23165129666128,6.61935450447232,6.23431925235297,"Alabama",1975,"Female","South","East South Central","AL"
"14",14,"Alabama.1975.Male",67.9584596532248,68.1338081329109,68.3074464083348,68.1350075611634,61.3188660320124,61.6437067701238,61.9719157763344,61.6355864825464,6.14052989556002,6.49697500848381,6.86884115250366,6.49942107861698,"Alabama",1975,"Male","South","East South Central","AL"
"15",15,"Alabama.1976.Female",77.4030784213635,77.5582396206485,77.7147670482205,77.5585040739377,71.1002809624657,71.3835749245477,71.6671878822912,71.3828555663062,5.87220784521398,6.17441237897407,6.49816138188646,6.17564850763146,"Alabama",1976,"Female","South","East South Central","AL"
"16",16,"Alabama.1976.Male",68.2722870395635,68.4394953348995,68.6051373338672,68.4393356843404,61.6197907610765,61.9226186472378,62.2319206753957,61.9239513990258,6.17209560499996,6.51771554592908,6.88893899962369,6.51538428531463,"Alabama",1976,"Male","South","East South Central","AL"
"17",17,"Alabama.1977.Female",77.701000904147,77.8578198319504,78.0157530620788,77.858201624665,71.5456877093421,71.8490659528124,72.1400573341013,71.8494353417218,5.69900448379623,6.00706171828171,6.34109563411624,6.00876628294319,"Alabama",1977,"Female","South","East South Central","AL"
"18",18,"Alabama.1977.Male",68.5012428189377,68.6667773777269,68.8301620757595,68.665739521426,62.0571112541001,62.339927638759,62.6277043233046,62.3371630967115,6.00088172277451,6.32815237581322,6.6721253704543,6.32857642471453,"Alabama",1977,"Male","South","East South Central","AL"
"19",19,"Alabama.1978.Female",77.8921835640682,78.05718803793,78.2177002296209,78.0538694975586,72.0788682123255,72.3630285804449,72.6259823648881,72.3566897983747,5.38437438744962,5.69526384982532,6.04383292382549,5.69717969918391,"Alabama",1978,"Female","South","East South Central","AL"
"20",20,"Alabama.1978.Male",68.881486933863,69.0463753852989,69.2232721490854,69.0471269146636,62.3950189883962,62.6838000890799,62.9609564481405,62.6837721699329,6.03580856029033,6.36849711242389,6.70156141012438,6.36335474473069,"Alabama",1978,"Male","South","East South Central","AL"
"21",21,"Alabama.1979.Female",78.0804425581753,78.2443722142268,78.3986466929406,78.24357490155,72.4524120180841,72.740470845912,73.0238136172756,72.7375570783385,5.19184016254672,5.50393313776722,5.85060717469291,5.50601782321153,"Alabama",1979,"Female","South","East South Central","AL"
"22",22,"Alabama.1979.Male",69.2135106395891,69.3743651306696,69.5271886842661,69.3734569850795,62.9043823174522,63.1890245477388,63.4492435729829,63.180763062861,5.88705272193771,6.19185658588901,6.50782325091315,6.19269392221848,"Alabama",1979,"Male","South","East South Central","AL"
"23",23,"Alabama.1980.Female",78.1732435550313,78.3309700638401,78.4890156038547,78.331037667906,72.6491680430044,72.9249231553728,73.1980091756995,72.9266905985436,5.09345868583293,5.40517440384305,5.73011629753904,5.40434706936236,"Alabama",1980,"Female","South","East South Central","AL"
"24",24,"Alabama.1980.Male",69.5357085215865,69.7047488295483,69.8621078554059,69.7018647963162,63.2273005958652,63.5068415703608,63.7946878985407,63.5075014086942,5.87864369632602,6.19742316989016,6.50179015338077,6.19436338762204,"Alabama",1980,"Male","South","East South Central","AL"
"25",25,"Alabama.1981.Female",78.2657906369851,78.4222543399861,78.5841081908238,78.4249837742385,73.020317882251,73.3014995846738,73.5802381881735,73.3014152008956,4.81072461298171,5.11981829251283,5.43664087312635,5.12356857334293,"Alabama",1981,"Female","South","East South Central","AL"
"26",26,"Alabama.1981.Male",69.8343582760299,69.9939880548043,70.1450285293896,69.9936066303726,63.6623947467527,63.9603462651894,64.2530818283639,63.963594132325,5.70834184842356,6.02379364468296,6.3569407028652,6.03001249804764,"Alabama",1981,"Male","South","East South Central","AL"
"27",27,"Alabama.1982.Female",78.3970429587975,78.5570490064558,78.7235821310438,78.5601893102122,73.2887192413139,73.554632300142,73.8410314482273,73.5570155781211,4.68015939710405,4.99791912596089,5.32121206099359,5.0031737320911,"Alabama",1982,"Female","South","East South Central","AL"
"28",28,"Alabama.1982.Male",70.1080572682297,70.2560442797193,70.3983944092074,70.2567488591279,64.0675472843012,64.347440373458,64.623841991566,64.3501970927863,5.59906470511547,5.91074397089055,6.22139328544579,5.90655176634159,"Alabama",1982,"Male","South","East South Central","AL"
"29",29,"Alabama.1983.Female",78.4834084581583,78.6370190507703,78.7989534112777,78.6382571242468,73.3336328126878,73.5808656749717,73.8868215133831,73.5848316776618,4.71022774225085,5.05632795067337,5.34569457915187,5.05342544658501,"Alabama",1983,"Female","South","East South Central","AL"
"30",30,"Alabama.1983.Male",70.3179379441563,70.4713642643943,70.6105151230689,70.4688876990011,64.3290093011214,64.6084256549926,64.8850918296968,64.6082654808426,5.55595617454372,5.86203693014621,6.1697928077106,5.86062221815847,"Alabama",1983,"Male","South","East South Central","AL"
"31",31,"Alabama.1984.Female",78.4051387020802,78.5502220046502,78.6991925310913,78.5506224315166,73.2231451766605,73.508377543087,73.7842647904001,73.5106887822036,4.71938141018205,5.0374902197303,5.36124573454395,5.03993364931304,"Alabama",1984,"Female","South","East South Central","AL"
