"","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean"
"1","Virginia.1969.Female",75.689332416476,75.8637177811561,76.038849030204,75.8636677720233,67.806902084903,68.2104214924525,68.6436678358339,68.2140941835713,7.16364272061769,7.64552721124696,8.11761139634064,7.64957358845204
"2","Virginia.1969.Male",67.6467905758036,67.8157311733099,67.9979521767903,67.8160011187055,59.4746032422829,59.8656607747272,60.2534502692198,59.8688150263431,7.5155848878146,7.9482548698528,8.38451359816574,7.94718609236243
"3","Virginia.1970.Female",75.9015398143954,76.0547760473922,76.2156487842304,76.0567607705077,68.2699029533745,68.6371050689916,69.0314858279608,68.6377163797545,7.01164661640875,7.41965688408709,7.80754315767721,7.41904439075327
"4","Virginia.1970.Male",67.7697649449673,67.9328749021153,68.0962624064686,67.9346996487279,59.9079249058311,60.2228545616501,60.5563294879131,60.2285041848874,7.33376511223252,7.71123115875519,8.08667412087643,7.70619546384053
"5","Virginia.1971.Female",76.1152166721305,76.2726753910841,76.4192855089597,76.2708382979209,68.9303946324652,69.2811365582387,69.6487473311001,69.2826868389974,6.60346227039136,6.99741087064859,7.36903875735304,6.98815145892348
"6","Virginia.1971.Male",67.8591288967471,68.0152588830353,68.1638578997391,68.0114887689097,60.5516281074788,60.8496438457093,61.1738268782787,60.8465681028037,6.83888758735276,7.16290141400826,7.4995603001046,7.16492066610601
"7","Virginia.1972.Female",76.3277297267266,76.4682560361841,76.6164402629423,76.469751018848,69.3408416342904,69.6933811071291,70.0371936689274,69.6951341142983,6.38117847489342,6.77984012789352,7.14097805642556,6.77461690454961
"8","Virginia.1972.Male",67.9905046450207,68.1332472381065,68.2712453666431,68.1322075013466,60.9028044932123,61.1951922020444,61.5169429359479,61.1993028122893,6.54920311188277,6.93339975774686,7.28020163893158,6.93290468905738
"9","Virginia.1973.Female",76.6497955869309,76.8081106373161,76.9612141583959,76.8069694070483,69.9114212410426,70.2260571150973,70.5672766492923,70.2291790098267,6.20530064133066,6.57393436593095,6.94779650837295,6.57779039722159
"10","Virginia.1973.Male",68.165068802079,68.315466148066,68.4661048833214,68.3147071400225,61.3044683427335,61.6257730382719,61.9287589419367,61.6218394571122,6.34181394937748,6.68836309765523,7.07792229147613,6.69286768291037
"11","Virginia.1974.Female",77.0971922874226,77.2567302766753,77.4055786672723,77.2535353465785,70.6657405011987,70.9962536826151,71.3564361117591,70.9964120223178,5.8972541367658,6.25424339467088,6.60292543305687,6.25712332426069
"12","Virginia.1974.Male",68.5854455106178,68.7368201764543,68.8859534047696,68.7372658396557,61.8239508973082,62.1286428087284,62.4301716534324,62.134332074547,6.25999655002036,6.60159540572139,6.95235185497437,6.60293376510869
"13","Virginia.1975.Female",77.5587025633289,77.7156469955258,77.8725055317061,77.7146118899699,71.419482474715,71.7500581548474,72.0870798530323,71.7516097853029,5.60401580156389,5.96390947700075,6.32852747255091,5.96300210466706
"14","Virginia.1975.Male",69.02767263016,69.1712761210929,69.3264903889673,69.1731136951118,62.3801708769207,62.6923696279504,62.9784024822685,62.6865028717182,6.15124357803097,6.48283230014287,6.83655528009913,6.48661082339359
"15","Virginia.1976.Female",77.7592086018372,77.9065884063653,78.0581866388731,77.9044847421589,71.7790159010993,72.096445014138,72.441659752731,72.0984879001711,5.439390565633,5.81367556010497,6.15411985765106,5.80599684198778
"16","Virginia.1976.Male",69.3858915992925,69.5286564386562,69.6742404959592,69.5297984967383,62.847225535096,63.1324510443126,63.4124028832501,63.135113212961,6.08144000623541,6.39679724903349,6.73341966507254,6.39468528377732
