"","stratum.id","age_minbin","age_cont_yrs_lcl","age_cont_yrs_med","age_cont_yrs_ucl","age_cont_yrs_mean","age_cont_prop_lcl","age_cont_prop_med","age_cont_prop_ucl","age_cont_prop_mean"
"1","Michigan.1969.Female",0,1.04597406117251,1.24616181274028,1.46532703415272,1.25111087494727,0.182657429494585,0.213685919377058,0.246262316196669,0.213915202984088
"2","Michigan.1969.Female",1,0.0787298462642631,0.128920230111815,0.179604532586443,0.128507136639395,0.0135930997170881,0.0222168107012997,0.0306149776703885,0.0219874421091512
"3","Michigan.1969.Female",5,-0.0150772960846577,0.0109079087131451,0.0397329839337337,0.0113164108388009,-0.00259180369328985,0.00187518688535577,0.00704526608564152,0.00193473427075026
"4","Michigan.1969.Female",10,-0.00225592455775624,0.0185939513379819,0.0461243155216356,0.0192569984771833,-0.000390583008925863,0.00318263571954642,0.00775682052661818,0.00329833127134014
"5","Michigan.1969.Female",15,0.0512405268646566,0.0895310904798383,0.13599651817812,0.0902802681154854,0.00863049820720174,0.0152268237945177,0.023772674498015,0.0154381662673817
"6","Michigan.1969.Female",20,0.171472426173703,0.223535759042961,0.281826765769607,0.224038421427123,0.029377441652855,0.0380511309150212,0.0487388280655761,0.0383358457049853
"7","Michigan.1969.Female",25,0.20128090179883,0.258259099196666,0.328430504570441,0.260527008061522,0.0346638850912782,0.044253767654647,0.0562810134228149,0.0445808415155836
"8","Michigan.1969.Female",30,0.23705900687273,0.295489458237811,0.364025724603429,0.295509704354758,0.040476226365185,0.0504704483118386,0.062567520113576,0.0505677315168618
"9","Michigan.1969.Female",35,0.359447421036246,0.432214201851685,0.505590712941907,0.431656896505257,0.0613465774881764,0.0737327453315766,0.0870639320103951,0.0738699595775651
"10","Michigan.1969.Female",40,0.467759055186666,0.552208473569874,0.629549997736023,0.550565886644635,0.0795644729504965,0.0942808273180757,0.107951876232014,0.094224148117113
"11","Michigan.1969.Female",45,0.504506773686751,0.586956223487912,0.682443320652989,0.587410609331904,0.0855685650403591,0.100421707578643,0.116273029953565,0.100527551931234
"12","Michigan.1969.Female",50,0.557154744167984,0.653426738645511,0.748795829350466,0.652180373147187,0.0957370177175481,0.111649956727303,0.129022380300825,0.111604954987239
"13","Michigan.1969.Female",55,0.482991816947339,0.583905196189031,0.68872165706417,0.58413140715294,0.0827447451096797,0.0997496919595434,0.11836073515723,0.0999543665967025
"14","Michigan.1969.Female",60,0.568545692983717,0.671685617748765,0.78866163632685,0.673260664108726,0.0967253943559495,0.115088032780842,0.134670845765866,0.115182159570428
"15","Michigan.1969.Female",65,0.387878592736032,0.489070861808873,0.594077985249821,0.489798243585598,0.0656642719520631,0.0837141315984664,0.100058176017551,0.0837892271236111
"16","Michigan.1969.Female",70,0.253879436310554,0.349642893887551,0.45201737217375,0.350010286165004,0.0438108001271311,0.059807289246318,0.0765285064917345,0.0598473182099057
"17","Michigan.1969.Female",75,-0.0733767998856205,0.00578489585444277,0.0927003128214251,0.00762888073269528,-0.0127096176202247,0.000990985458064325,0.0157824358244486,0.00124705763025767
"18","Michigan.1969.Female",80,-0.172824530774974,-0.10439203964741,-0.0236393187753113,-0.104467072926606,-0.0311684360744493,-0.0178804266011135,-0.00392350473600811,-0.0179549749983045
"19","Michigan.1969.Female",85,-0.84724278480497,-0.648765346971577,-0.481755304165584,-0.654270003482442,-0.152082125478579,-0.111264524962919,-0.0792628332130897,-0.112350064385894
"20","Michigan.1969.Male",0,1.10084107506299,1.31678848663447,1.54957034106064,1.31870812051176,0.153473874857283,0.180500063738075,0.20720274083711,0.180456332306581
"21","Michigan.1969.Male",1,0.097777010061217,0.150031617818878,0.20660793389272,0.151016601247316,0.0133258654625669,0.020574898719067,0.0283865182076807,0.0206782496860645
"22","Michigan.1969.Male",5,-0.0125090268267149,0.0178350211037095,0.0542706701273786,0.01861319980868,-0.00166078874951401,0.00243489234398227,0.00738886325512251,0.00254320449462833
"23","Michigan.1969.Male",10,-0.00285753674782287,0.0237713893684365,0.0548921639117582,0.0243062305357912,-0.000390458881732699,0.00329279730092075,0.00749841085369242,0.00332701327387977
"24","Michigan.1969.Male",15,0.137296235469663,0.21485041999186,0.296057471114555,0.215789023130404,0.0188077412576096,0.0294530035515839,0.0406112103369504,0.0295301871658306
"25","Michigan.1969.Male",20,0.518610301236713,0.635580877396765,0.765756702612514,0.636103876506108,0.0710110290769519,0.0870092060142916,0.103626621772386,0.0870963606311461
"26","Michigan.1969.Male",25,0.574851392118482,0.678768955238819,0.789138152702767,0.679149711303019,0.0789972081740958,0.0930448030194911,0.108143106364108,0.0930087092135945
"27","Michigan.1969.Male",30,0.726431651053317,0.83756103640673,0.957557436543982,0.837893057712696,0.0996995196068447,0.114799313801365,0.130630870919211,0.114740809695974
"28","Michigan.1969.Male",35,0.696957331195187,0.79709891389463,0.910175400240128,0.800053241262236,0.0963991969428353,0.109423039209979,0.124421195013951,0.109572308921134
"29","Michigan.1969.Male",40,0.649440720084509,0.735165435488035,0.833280619585434,0.737073465060383,0.0884931412910644,0.100864635931487,0.115175954850319,0.100954978643087
"30","Michigan.1969.Male",45,0.608171759138191,0.694743716542216,0.797249650412629,0.697117232299684,0.083568248481315,0.0952538870843416,0.108369210996805,0.0954783413775635
"31","Michigan.1969.Male",50,0.450181316280248,0.54237279828742,0.636081851037119,0.543253725305362,0.0618672050575146,0.0742521506584534,0.0870075510050467,0.074396143917166
