"","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean"
"1","Nebraska.1969.Female",76.9965719969455,77.2499342345468,77.4887124079953,77.2481379755309,67.1539931627051,68.427679336152,69.7064632177882,68.4254081130588,7.49223343848849,8.81361766066303,10.1284083603944,8.82272986247209
"2","Nebraska.1969.Male",69.2659171450089,69.51414491204,69.7413468715138,69.5078232308556,61.4086431625696,62.8285487343069,64.0803823787514,62.8103211530776,5.41982770349914,6.68191633237971,8.17964911634149,6.69750207777802
"3","Nebraska.1970.Female",77.1156771071663,77.3404521929521,77.560762061941,77.3385334536142,67.480940095703,68.7122888125452,69.9507090464487,68.702295598155,7.36685021887593,8.64254805649171,9.89989490863164,8.63623785545925
"4","Nebraska.1970.Male",69.248772316648,69.486058427548,69.7007263509776,69.4832590588174,61.7796442461059,63.0924391018418,64.2135750917249,63.0789478935284,5.20860628626617,6.39171602240294,7.70756967373138,6.40431116528904
"5","Nebraska.1971.Female",77.3008063442435,77.5018866114416,77.7215048901539,77.5068574308687,67.8314957812501,68.9685357050714,70.2042601855933,68.9775164437327,7.31638587464435,8.56179687996599,9.74227839787409,8.52934098713602
"6","Nebraska.1971.Male",69.2883889332103,69.5173321920811,69.7289980222684,69.5108329394907,62.1524098503711,63.3510234349013,64.4734708317729,63.3331729732461,4.98620474784431,6.17227411031802,7.40458668517788,6.17765996624463
"7","Nebraska.1972.Female",77.3636605653515,77.5804959272291,77.7909358971562,77.5817355876215,68.184047824345,69.2752795198977,70.4061837987705,69.2876095501243,7.14863381195088,8.31237163495999,9.41821990776667,8.29412603749726
"8","Nebraska.1972.Male",69.4893220371861,69.6834738882326,69.904000645149,69.6875372096899,62.3524068649227,63.5101120101837,64.5446624241934,63.5027244613528,5.12135819344101,6.17899371566082,7.29995987349528,6.18481274833705
"9","Nebraska.1973.Female",77.7135240478089,77.9297187582412,78.129451670168,77.9307625133937,68.7484095424526,69.8093160768418,70.9824466355835,69.8234039710621,6.94575854869563,8.12680295287927,9.18904977961638,8.10735854233157
"10","Nebraska.1973.Male",69.8784405174522,70.0879704443026,70.2974457134559,70.0898370068523,62.649588286965,63.7637052324854,64.7971845743753,63.7617468314043,5.2814823932348,6.32619164595873,7.44951784620559,6.328090175448
"11","Nebraska.1974.Female",77.9758926394328,78.1806180602292,78.3873461475383,78.1820516501982,69.0058342943706,70.1140951742032,71.2190860537973,70.1034949276291,6.93446198677735,8.0796938631206,9.21463385056068,8.07855672256902
"12","Nebraska.1974.Male",70.1806481164014,70.3998511565624,70.6081183759861,70.397912849331,62.9519675292074,63.9539220107333,64.949042935806,63.9573190690792,5.44727152568692,6.42899816212181,7.46057802811572,6.44059378025186
"13","Nebraska.1975.Female",78.5536840320158,78.7601226016652,78.9801574061517,78.7578794502096,69.4460595740589,70.5139735281164,71.582107115579,70.504499238164,7.18820103759718,8.25494561003092,9.36184062548895,8.25338021204566
"14","Nebraska.1975.Male",70.4827499808478,70.7005448596808,70.8904655791133,70.6935759680867,63.2692758150306,64.2568093121411,65.3041137797487,64.279932463411,5.3620837102658,6.42438100252113,7.38305600107662,6.41364350467567
"15","Nebraska.1976.Female",78.6309189759204,78.8437454949586,79.0462788461881,78.8417228918536,69.74658773593,70.7719304859626,71.8340719083186,70.7790408796423,6.96764019680734,8.06537701080711,9.11991019940642,8.06268201221137
"16","Nebraska.1976.Male",70.8744004565007,71.0859424012027,71.272356156365,71.084903257486,63.7786471736816,64.7861477039568,65.7581377705413,64.7803336060344,5.31324534042837,6.30684386215108,7.31921186140029,6.30456965145162
"17","Nebraska.1977.Female",79.0278509594588,79.2371599068721,79.4385402947112,79.23793130573,70.0639445068605,71.0322926169735,72.1169044333585,71.0435172814062,7.13114289946973,8.1941831277415,9.20046953560337,8.19441402432385
"18","Nebraska.1977.Male",71.1894191383492,71.3836472438836,71.5858349812998,71.3867589716823,64.0294819914279,65.1002826792716,66.1123180957767,65.0969530724975,5.22768389756018,6.284018093844,7.35773521831485,6.28980589918482
"19","Nebraska.1978.Female",79.24730294209,79.4546575813505,79.6748671157774,79.4553673441896,70.1934111643914,71.1831841849869,72.1727320310801,71.1834696003349,7.30648729282085,8.27916948358987,9.30929016691433,8.27189774385467
"20","Nebraska.1978.Male",71.381506926628,71.5792012548783,71.7841367430712,71.5843583336754,64.3906088876612,65.38018894529,66.3660691781887,65.373242406151,5.21102862470884,6.20481413945692,7.23920344963901,6.21111592752436
