"","stratum.id","LE_white_lcl","LE_white_med","LE_white_ucl","LE_white_mean","LE_black_lcl","LE_black_med","LE_black_ucl","LE_black_mean","LE_wbgap_lcl","LE_wbgap_med","LE_wbgap_ucl","LE_wbgap_mean"
"1","Washington DC.1969.Female",74.4532024574839,75.0873092926455,75.7054912377454,75.0802970111186,67.8904888004533,68.3520957199358,68.7871673442244,68.346622105409,5.93168056577186,6.73983567609774,7.52466789083565,6.73367490570957
"2","Washington DC.1969.Male",65.8085370272986,66.6076752993488,67.3962341914361,66.6075529013037,58.0981592907476,58.5774770135697,59.0351131839874,58.5773657184267,7.02883297795853,8.0333760979937,8.98689225343287,8.03018718287701
"3","Washington DC.1970.Female",74.6615874070416,75.2408398839095,75.8523017598156,75.2471232742849,68.06198623114,68.5126109047887,68.9041373200056,68.5040337004028,6.02518524583647,6.73345662684863,7.49891473951936,6.74308957388215
"4","Washington DC.1970.Male",66.2222740207503,66.9069837540879,67.6282232276062,66.9000252616822,58.3132667457748,58.7362991917874,59.1540939612101,58.7295118669426,7.35048968950405,8.16173515856517,8.98476202146073,8.17051339473962
"5","Washington DC.1971.Female",75.2422137416595,75.7805283508063,76.3542578402718,75.7836637372928,68.3587375180789,68.7804166403673,69.1701179217402,68.7796923368969,6.31681783347645,6.99993142511607,7.66808353614141,7.00397140039588
"6","Washington DC.1971.Male",66.9221868810278,67.5637470641953,68.1962222151481,67.566017563189,58.6472870805638,59.0517691010564,59.4552018804032,59.05174907484,7.7346545941204,8.52068578752096,9.2501843529261,8.51426848834903
"7","Washington DC.1972.Female",75.5312710458315,76.0473459712955,76.578753795042,76.0545165009329,68.8433999583433,69.2372878210217,69.6255517437452,69.2369792431656,6.19090530699733,6.81582080215809,7.48105386127016,6.81753725776731
"8","Washington DC.1972.Male",67.4722791485975,68.0944155302566,68.7139907013628,68.0955780138669,58.9751629909034,59.4038309969826,59.8276057457813,59.3988737242988,7.90548786518195,8.70555635622588,9.44929098333647,8.69670428956803
"9","Washington DC.1973.Female",75.7084654772376,76.275496871327,76.779521754413,76.2690741102074,69.3733163664539,69.7319044471449,70.1126369059827,69.735042929661,5.89402865509271,6.55011335255035,7.18107734796116,6.53403118054644
"10","Washington DC.1973.Male",68.0140624181594,68.6688018533782,69.2441777808575,68.6664836245836,59.4509203154122,59.8777770461477,60.2873741551088,59.8770254634949,7.98569477487476,8.79906799078386,9.51103477162385,8.78945816108873
