"","sex","state","year","X.1","stratum.id","X","age_minbin","COD.x","age_COD_cont_yrs_lcl","age_COD_cont_yrs_med","age_COD_cont_yrs_ucl","age_COD_cont_yrs_mean","age_COD_cont_prop_lcl","age_COD_cont_prop_med","age_COD_cont_prop_ucl","age_COD_cont_prop_mean","age","widened_gap","age_COD_cont_yrs_SE","COD.y","RE.estimates","fitted.RE","resid.RE","fixed.from.RE"
"1","Female","Alabama",1969,1,"Alabama.1969.Female",1,0,"All other causes",0.631549033148458,0.854708986777971,1.08185202025747,0.855652049530471,0.0833912612900063,0.109407862204741,0.136583787627586,0.109604044170273,"<1 year",1,0.114873210997197,"All other causes",0.00751792884454782,0.818188655874461,0.0374633936560098,0.810670727029913
"2","Female","Alabama",1970,115,"Alabama.1970.Female",229,0,"All other causes",0.724946928487317,0.921404297555027,1.12851088936988,0.923317646847504,0.0967445618870836,0.120562600544367,0.144457013439907,0.120652403821934,"<1 year",1,0.102949990021062,"All other causes",0.00751792884454782,0.829134026934979,0.0941836199125248,0.821616098090431
"3","Female","Alabama",1971,229,"Alabama.1971.Female",457,0,"All other causes",0.687628897763974,0.876622646133961,1.07280707701834,0.877765531545842,0.0965462722867445,0.121540712403887,0.145901585590396,0.12115224594861,"<1 year",1,0.0982597396057056,"All other causes",0.00751792884454782,0.831343529727101,0.0464220018187411,0.823825600882553
"4","Female","Alabama",1972,343,"Alabama.1972.Female",685,0,"All other causes",0.751293792022412,0.916766169859846,1.11159906026643,0.919597714490956,0.107756287137082,0.130122134897343,0.154081666291484,0.130526944684922,"<1 year",1,0.091914609245923,"All other causes",0.00751792884454782,0.826375249560007,0.0932224649309493,0.818857320715459
"5","Female","Alabama",1973,457,"Alabama.1973.Female",913,0,"All other causes",0.776318361584437,0.95977990855415,1.16619607553705,0.962922327426053,0.117100641604247,0.140880742392184,0.165680373751545,0.141210827176592,"<1 year",1,0.0994586004981155,"All other causes",0.00751792884454782,0.815787271742876,0.147135055683177,0.808269342898328
"6","Female","Alabama",1974,571,"Alabama.1974.Female",1141,0,"All other causes",0.716413242576313,0.892176911263216,1.10524363085856,0.898899301439404,0.113866770992419,0.139582118273545,0.167600691708161,0.140217756790808,"<1 year",1,0.0991914255822059,"All other causes",0.00751792884454782,0.80113768158489,0.0977616198545141,0.793619752740342
"7","Female","Alabama",1975,685,"Alabama.1975.Female",1369,0,"All other causes",0.720808917984721,0.917476319774698,1.1138426279596,0.917142823889975,0.119223168244722,0.14787448198918,0.175551996675476,0.147367533589551,"<1 year",1,0.100263701524204,"All other causes",0.00751792884454782,0.783984564395227,0.133158259494748,0.77646663555068
"8","Female","Alabama",1976,799,"Alabama.1976.Female",1597,0,"All other causes",0.683648274294338,0.85590450755128,1.04559188653303,0.858611527074445,0.113799435806842,0.139018699925902,0.165834612957934,0.139244126602748,"<1 year",1,0.0923325541425235,"All other causes",0.00751792884454782,0.765886005483069,0.0927255215913763,0.758368076638521
"9","Female","Alabama",1977,913,"Alabama.1977.Female",1825,0,"All other causes",0.63391062261358,0.798894817379117,0.964853026923616,0.800816742035616,0.10854857224294,0.133580601366083,0.158746607772234,0.133617970760913,"<1 year",1,0.084424082732152,"All other causes",0.00751792884454782,0.748400090157594,0.0524166518780219,0.740882161313046
"10","Female","Alabama",1978,1027,"Alabama.1978.Female",2053,0,"All other causes",0.571187641739045,0.719590803268965,0.863216599879087,0.719587467050831,0.10257554880704,0.127057643566448,0.150194760160262,0.126696215463175,"<1 year",1,0.0744971831989903,"All other causes",0.00751792884454782,0.733081928906925,-0.0134944618560944,0.725564000062378
"11","Female","Alabama",1979,1141,"Alabama.1979.Female",2281,0,"All other causes",0.518106085921586,0.661200383401347,0.804185954239739,0.663092611859048,0.0958991729803356,0.12094980253524,0.14566501920724,0.120977645388421,"<1 year",1,0.0729795582444268,"All other causes",0.00751792884454782,0.720855970154902,-0.0577633582958536,0.713338041310354
"12","Female","Alabama",1980,1255,"Alabama.1980.Female",2509,0,"All other causes",0.500008976225101,0.645324666569444,0.798578993423115,0.645692691901932,0.0947197201559367,0.119485995865134,0.146540425567508,0.119940735123135,"<1 year",1,0.0761658207137791,"All other causes",0.00751792884454782,0.711239571964956,-0.0655468800630236,0.703721643120408
"13","Female","Alabama",1981,1369,"Alabama.1981.Female",2737,0,"All other causes",0.455520220414872,0.60041942190995,0.745722192903189,0.598484430604664,0.091591001193663,0.117694932653817,0.143034912012826,0.117264693505486,"<1 year",1,0.0740311154306931,"All other causes",0.00751792884454782,0.703559703852813,-0.105075273248149,0.696041775008265
"14","Female","Alabama",1982,1483,"Alabama.1982.Female",2965,0,"All other causes",0.496689219149993,0.622595369960219,0.773130388038261,0.627893649897568,0.100722294221521,0.124792738142097,0.153418032224322,0.12574835058284,"<1 year",1,0.070520706349048,"All other causes",0.00751792884454782,0.697143335334198,-0.0692496854366303,0.689625406489651
"15","Female","Alabama",1983,1597,"Alabama.1983.Female",3193,0,"All other causes",0.486122284012804,0.630307369046765,0.774312200783514,0.630117516832081,0.100135918140975,0.12471212265681,0.151102018473097,0.124793030977442,"<1 year",1,0.0735178359108954,"All other causes",0.00751792884454782,0.691317435924837,-0.0611999190927563,0.683799507080289
"16","Female","Alabama",1984,1711,"Alabama.1984.Female",3421,0,"All other causes",0.525035695390848,0.672362732118934,0.828384130376653,0.672628459264877,0.107336316327819,0.133351154767062,0.15970472963467,0.133678773119102,"<1 year",1,0.0773848048433176,"All other causes",0.00751792884454782,0.685408975140455,-0.0127805158755777,0.677891046295907
"17","Female","Alabama",1985,1825,"Alabama.1985.Female",3649,0,"All other causes",0.426828854347693,0.56180977765949,0.708589112933439,0.563606043122384,0.0884492132659382,0.112754385823087,0.14029523582334,0.112922324159137,"<1 year",1,0.0718776169861597,"All other causes",0.00751792884454782,0.678744922496776,-0.115138879374392,0.671226993652228
"18","Female","Alabama",1986,1939,"Alabama.1986.Female",3877,0,"All other causes",0.492293688812508,0.634029576269362,0.782554347154926,0.637246263279841,0.0996454974535047,0.125629509973975,0.152454918544224,0.126230338304502,"<1 year",1,0.0740460863118413,"All other causes",0.00751792884454782,0.670652247509526,-0.033405984229685,0.663134318664978
"19","Female","Alabama",1987,2053,"Alabama.1987.Female",4105,0,"All other causes",0.518336283448596,0.65741786217329,0.799575884300642,0.657044175778769,0.104881781224041,0.129920693310665,0.155896088997331,0.130050334355675,"<1 year",1,0.071744796135726,"All other causes",0.00751792884454782,0.660469886261456,-0.00342571048268669,0.652951957416908
"20","Female","Alabama",1988,2167,"Alabama.1988.Female",4333,0,"All other causes",0.510190729160032,0.635622047347013,0.783079992156544,0.63852221896482,0.106149833010922,0.130214959285791,0.157668945963581,0.130510559751843,"<1 year",1,0.0696146079072735,"All other causes",0.00751792884454782,0.648001975128428,-0.00947975616360841,0.640484046283881
"21","Female","Alabama",1989,2281,"Alabama.1989.Female",4561,0,"All other causes",0.462076301897579,0.587717396370617,0.72175848950522,0.589084682916744,0.0930151846432884,0.119092347701764,0.144415941405152,0.118962846155005,"<1 year",1,0.0662454560223574,"All other causes",0.00751792884454782,0.633656962121093,-0.0445722792043486,0.626139033276545
"22","Female","Alabama",1990,2395,"Alabama.1990.Female",4789,0,"All other causes",0.452981166144793,0.586020129167131,0.711386514786057,0.586533914755913,0.0929427638641375,0.118179264698606,0.142810941802492,0.118341472604122,"<1 year",1,0.0659197317962408,"All other causes",0.00751792884454782,0.617883682413807,-0.031349767657894,0.610365753569259
"23","Female","Alabama",1991,2509,"Alabama.1991.Female",5017,0,"All other causes",0.461475177137152,0.585989325208278,0.714230261329633,0.587000049203867,0.0953337871456188,0.119777222571053,0.144805142311732,0.119942772246343,"<1 year",1,0.0644783378042043,"All other causes",0.00751792884454782,0.60113097118093,-0.0141309219770634,0.593613042336383
